label_value,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,International,Unemployment rate,Inflation rate,GDP,Age Code,Nationality
1,1,17,1,9130,1,19,19,3,10,131.0,1,0,0,1,1,0,0,10.8,1.4,1.74,1,1
0,1,18,1,9500,1,37,19,5,5,119.3,0,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
0,2,39,1,9853,1,37,37,9,9,131.0,0,0,0,1,0,1,0,13.9,-0.3,0.79,1,1
0,1,39,1,9853,1,37,19,9,5,102.5,0,0,0,1,0,0,0,7.6,2.6,0.32,1,1
1,1,44,1,9003,1,1,1,3,10,130.0,0,0,0,1,1,0,0,15.5,2.8,-4.06,1,1
0,1,7,1,9147,1,37,19,9,8,130.0,0,0,0,1,0,0,0,10.8,1.4,1.74,1,1
1,1,39,1,9254,1,38,37,4,5,102.5,0,0,1,0,1,0,0,16.2,0.3,-0.92,1,1
0,1,1,6,9500,1,38,38,9,9,128.8,1,0,0,1,0,1,0,15.5,2.8,-4.06,1,1
1,2,39,1,9991,0,19,37,3,9,132.9,0,0,0,1,1,0,0,13.9,-0.3,0.79,1,1
0,1,1,2,9070,1,19,38,9,9,132.0,1,0,0,1,0,1,0,10.8,1.4,1.74,1,1
0,1,39,1,9991,0,38,38,5,7,146.2,0,0,0,1,0,0,0,11.1,0.6,2.02,1,1
0,1,17,1,9670,1,37,37,9,9,121.5,1,0,0,1,1,1,0,12.7,3.7,-1.7,1,1
1,1,1,2,9147,1,19,19,9,9,126.3,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,1,44,1,9085,1,38,37,4,10,140.0,0,0,1,0,0,0,0,16.2,0.3,-0.92,1,1
1,1,44,1,9003,1,37,37,9,7,160.0,1,0,0,0,1,0,0,15.5,2.8,-4.06,1,1
1,2,39,1,9254,1,34,34,0,0,120.0,0,0,1,0,1,0,0,9.4,-0.8,-3.12,0,1
0,1,1,4,9500,1,19,19,9,9,125.0,1,0,0,1,0,0,0,12.4,0.5,1.79,1,1
0,1,16,1,9085,1,37,37,9,9,123.0,1,0,0,1,0,1,0,13.9,-0.3,0.79,1,1
1,1,1,1,8014,0,34,34,0,0,142.4,0,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,1,6,9500,1,1,19,9,4,130.8,1,0,0,1,0,1,0,12.7,3.7,-1.7,1,1
0,1,1,3,9670,1,37,37,0,0,136.5,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,1,1,171,1,3,4,2,5,175.6,1,0,0,1,0,0,0,11.1,0.6,2.02,1,1
1,1,1,1,171,1,3,19,2,9,122.3,0,0,0,1,0,0,0,10.8,1.4,1.74,1,1
0,1,51,1,9500,1,19,1,5,9,150.0,0,0,0,1,0,1,0,11.1,0.6,2.02,1,1
0,1,17,1,9254,1,38,37,9,6,109.7,1,0,0,1,0,0,0,11.1,0.6,2.02,1,1
1,1,17,2,9853,1,37,37,9,9,112.1,1,0,0,1,0,0,0,7.6,2.6,0.32,1,1
0,1,16,2,9238,1,38,37,3,5,127.1,1,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
0,1,1,3,9500,1,38,38,7,9,132.8,1,0,0,1,0,1,0,10.8,1.4,1.74,1,1
1,1,7,1,9556,1,5,5,2,2,190.0,1,0,0,1,1,0,0,11.1,0.6,2.02,0,1
1,1,39,1,9130,1,1,19,4,5,120.0,1,0,0,1,1,0,0,10.8,1.4,1.74,1,1
0,1,18,1,9070,1,38,38,7,5,141.6,0,0,0,1,0,1,0,10.8,1.4,1.74,1,1
0,1,1,1,9773,1,37,37,9,9,142.5,1,0,0,1,0,0,0,9.4,-0.8,-3.12,1,1
0,1,1,2,171,1,19,1,4,7,131.4,1,0,0,1,1,0,1,7.6,2.6,0.32,1,41
0,1,1,6,9500,1,19,19,9,9,130.5,1,0,0,1,0,0,0,12.7,3.7,-1.7,1,1
1,2,39,1,9991,0,37,37,9,7,122.5,0,0,0,1,1,0,0,7.6,2.6,0.32,0,1
1,1,17,3,9070,1,38,1,5,5,124.3,0,1,0,1,0,0,0,15.5,2.8,-4.06,1,1
0,1,44,1,9003,1,37,19,9,9,150.0,0,0,0,1,1,1,0,13.9,-0.3,0.79,1,1
1,1,1,1,171,1,37,38,9,9,120.7,1,0,1,1,1,0,0,7.6,2.6,0.32,1,1
1,1,39,1,9991,0,38,37,9,9,154.4,0,0,0,1,1,0,0,10.8,1.4,1.74,1,1
1,1,1,2,9773,1,3,3,3,2,140.2,1,0,0,1,0,0,0,16.2,0.3,-0.92,1,1
0,1,1,6,9500,1,19,38,5,7,128.5,1,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
1,2,39,1,8014,0,34,34,0,0,104.0,0,0,0,1,0,0,0,7.6,2.6,0.32,0,1
0,1,43,2,9238,1,37,37,9,7,112.5,1,0,0,1,0,1,0,9.4,-0.8,-3.12,0,1
0,1,17,2,9070,1,1,19,144,144,111.9,1,0,0,1,1,0,0,8.9,1.4,3.51,1,1
0,1,1,1,9238,1,38,38,8,7,112.9,1,0,0,1,0,1,0,12.4,0.5,1.79,1,1
0,1,1,1,171,1,1,1,4,3,141.5,0,0,0,1,1,0,0,7.6,2.6,0.32,1,1
0,1,1,1,9853,1,19,19,5,7,141.7,0,0,0,1,0,1,0,9.4,-0.8,-3.12,1,1
0,1,1,1,9773,1,38,38,9,7,144.7,1,0,0,1,0,1,0,12.7,3.7,-1.7,1,1
0,2,39,1,9991,0,37,37,9,10,150.0,0,0,0,1,1,0,0,15.5,2.8,-4.06,0,1
0,1,17,1,9085,1,1,37,4,9,117.0,1,0,0,1,0,1,0,10.8,1.4,1.74,1,1
1,1,39,1,9254,1,1,1,9,6,105.0,1,0,1,0,0,0,0,8.9,1.4,3.51,1,1
